Province;Comuni;Posti Letto;Popolazione residente;Superficie comunale (km2);Rapporto Comunale Ricettività;Rapporto Regionale Ricettività;Rapporto Area Rurale;Marginalità SI/NO;Area Rurale SI/NO;Isola Minore;Punteggio Lettera E;;;;;;;;;;;;;;;;
MESSINA;Alì Terme; 	154 ;2.318; 	6,27 ;24,544; 	8,48   ;369,43182723723;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Antillo; 	28 ;795; 	43,64 ;0,642; 	8,48   ;18,2192358462892;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Barcellona Pozzo di Gotto; 	529 ;39.817; 	59,14 ;8,944; 	8,48   ;673,236088308447;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Basicò; 	-   ;635; 	12,07 ;0,000; 	8,48   ;52,6154432540373;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Brolo; 	626 ;5.748; 	7,66 ;81,673; 	8,48   ;749,931504168461;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Capizzi; 	8 ;2.816; 	70,17 ;0,114; 	8,48   ;40,1325399935868;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Capo d'Orlando; 	1.830 ;13.111; 	14,43 ;126,839; 	8,48   ;908,73805249624;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Capri Leone; 	62 ;4.361; 	6,76 ;9,165; 	8,48   ;644,679655855483;NO;NO;;0;;;;;;;;;;;;;;;;
MESSINA;Caronia; 	151 ;3.001; 	227,26 ;0,664; 	8,48   ;13,2050232770987;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Casalvecchio Siculo; 	6 ;718; 	33,62 ;0,178; 	8,48   ;21,3548745921606;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Castel di Lucio; 	14 ;1.328; 	28,78 ;0,486; 	8,48   ;46,1455600535122;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Castell'Umberto; 	20 ;2.815; 	11,43 ;1,750; 	8,48   ;246,318350060814;SI;NO;;3;;;;;;;;;;;;;;;;
MESSINA;Castelmola; 	208 ;1.071; 	16,83 ;12,360; 	8,48   ;63,6427922012324;NO;SI;;3;;;;;;;;;;;;;;;;
MESSINA;Castroreale; 	32 ;2.266; 	53,07 ;0,603; 	8,48   ;42,698162057049;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Cesarò; 	220 ;2.115; 	216,93 ;1,014; 	8,48   ;9,74952704421998;SI;SI;;6;;;;;;;;;;;;;;;;
MESSINA;Condrò; 	-   ;481; 	5,13 ;0,000; 	8,48   ;93,7165124208475;SI;SI;;6;;;;;;;;;;;;;;;;
